Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
45.6992,20.8698,2.0015,1.60537,0,0,0,0,0,0
0.219569,15.0745,8.81653,5.48006,8.66184,0,0,0,0,0
33.2099,11.1474,7.7837,0,0,0,0,0,0,0
36.8101,8.92366,6.90326,0.0407499,0,0,0,0,0,0
34.246,2.71849,1.64546,6.93584,0,0,0,0,0,0
11.1674,2.72949,13.3887,16.8082,0.0904086,0,0,0,0,0
13.4328,17.4746,2.5718,0.0515601,0,0,0,0,0,0
14.6063,7.89969,2.8583,0.300962,0,0,0,0,0,0
21.0482,19.4992,2.33345,4.98387,1.60944,4.40213,0,0,0,0
58.91,17.075,0.444915,0.466357,0,0,0,0,0,0
14.0312,23.0543,9.64195,0.088162,1.15613,0.0459996,0,0,0,0
21.7372,23.1548,0.511372,0,0,0,0,0,0,0
28.7998,13.38,1.81299,1.10477,0,0,0,0,0,0
49.1796,12.8182,1.46482,0.226302,0,0,0,0,0,0
64.8943,3.8417,0.275416,2.08142,0,0,0,0,0,0
25.7566,8.2147,0.261329,0,0,0,0,0,0,0
33.3267,11.5712,2.51041,0.12919,0,0,0,0,0,0
37.3988,9.65899,5.78528,0.147718,0,0,0,0,0,0
19.2516,19.6983,1.15711,0.4864,0,0,0,0,0,0
16.9686,6.59094,1.35292,1.57949,0,0,0,0,0,0
16.3233,15.5286,6.76793,5.48443,3.03723,0,0,0,0,0
17.7538,1.42321,9.70407,10.917,3.22402,0.30348,0.144904,0,0,0
30.9077,23.0577,0.9641,2.12361,0,0,0,0,0,0
13.9121,10.0082,0.378774,0.988539,5.96496,0,0,0,0,0
4.94121,7.38327,1.68754,1.138,5.93531,0,0,0,0,0
35.175,8.5332,11.453,2.74697,0,0,0,0,0,0
41.6347,7.40384,3.81618,0.00017431,1.10925,0,0,0,0,0
19.514,33.7661,8.16854,0.161422,0.0876333,0.140081,0,0,0,0
16.557,15.3267,4.54493,0,0,0,0,0,0,0
29.6666,12.7477,4.86066,0,1.16193,0,0,0,0,0
23.7772,14.4718,7.45211,0.919561,0,0,0.213352,0,0,0
19.1758,0.962429,0,0.0643988,0,0.0930404,0,0,0,0
38.1983,6.50837,1.41015,0.397452,0,0,0,0,0,0
28.9564,16.8767,27.1641,0.0655791,0,0,0,0,0,0
30.2164,3.16648,3.70766,0.589712,0,0,0,0,0,0
18.7786,5.17937,5.58549,0.192159,0.0407923,0,0,0,0,0
26.5823,15.0143,8.19585,0.844057,3.79534,0,0,0,0,0
29.4551,8.02834,0.336595,1.5122,10.5712,0,0,0,0,0
19.3171,0.43393,11.1404,1.53447,0,0,0.585736,0,0,0
32.9649,3.58401,11.1653,6.43089,0,0,0,0,0,0
17.9422,23.8991,0.992071,0,0.262592,1.38016,0,0,0,0
43.1828,1.86602,5.24973,0.371812,0,0,0,0,0,0
