Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
7.18677,19.3407,17.925,3.64464,2.54569,0,0,0.108351,0,0
28.8222,67.8073,2.56939,0,0,0,0,0,0,0
21.0476,13.4408,0,0,0,0,0,0,0,0
9.0296,0.133319,0,0,0,0,0,0,0,0
7.19136,18.5759,80.8511,1.7299,0.075624,2.09607,0,0,0,0
10.7275,1.55711,0.987715,1.99877e-06,0,0,0,0,0,0
5.20415,8.28586,14.2906,49.8754,0.0455531,2.23774,0,0,0,0
3.49267,2.95356,3.80598,2.88674,5.99186,2.81345,4.45469,3.52243,4.54386,3.79649
11.7638,11.146,50.8438,0.0832955,0.720598,0.143226,0,0,0,0
33.225,9.54615,3.22433,0,0,0,0,0,0,0
3.17678,2.85344,3.18868,5.23321,69.5537,17.1065,0.0569388,0.469786,0.0461916,0
3.62633,11.4079,3.2847,0.852864,0.244333,0,0,0,0,0
3.1026,4.82925,3.86471,3.23808,4.97426,4.0423,0.579694,0.00051379,0,0
3.33513,4.49596,17.4168,2.31758,5.19854,2.37032,0,0,0,0
2.83607,2.7851,3.44713,3.29406,9.99601,3.78247,0.658796,3.17755e-06,0.364507,0
2.80179,3.00001,6.99431,5.63667,23.1229,0,0,0,0,0
53.5962,0.265744,0,0,0,0,0,0,0,0
3.62482,3.22448,3.19941,3.17535,5.07631,31.1009,4.02073,0.990251,0.574572,0
3.85569,3.12518,4.31941,3.04416,7.68205,3.63322,3.27595,3.53342,2.85619,3.1482
0.928171,0.0490358,0,1.12555,16.5602,1.46373,0,0,0,0
8.30957,0.274294,0.399725,0.649549,0,0,0,0,0,0
3.51858,3.56107,6.08857,3.25391,8.92365,5.56605,0.0711826,0.985502,0,0
3.56771,2.94775,2.85495,2.91077,3.60272,13.8086,5.27125,1.71541,0.21653,0
28.7928,23.5989,2.91697,0,0.154913,0.173343,0,0,0,0
5.53213,4.22305,1.52431,0,0,0,0.712382,34.7265,0,0
3.19524,4.11746,3.27094,3.22986,4.72117,20.1098,23.4488,1.92255,0.0676325,0
37.4855,1.48705,0,0,0,0,0,0,0,0
16.6374,18.9754,31.4321,0.961993,0.000209684,0,0,0,0,0
3.71253,6.52954,4.58708,3.41761,4.86567,10.3503,11.7346,3.85229,0.193436,0
7.36544,13.6188,15.8005,5.4779,0,0,0,0,0,0
12.4786,22.9115,0,0,0,0,0,0,0,0
3.05679,3.80719,3.71362,3.78581,14.827,0.253807,0.134898,0.077937,0,0.584566
4.39999,5.36326,60.6044,1.66346,0,0,0,0,0,0
18.6814,38.5679,0.0424759,1.31767,0.827444,0.398321,0,0,0,0
107.237,14.279,0.78646,0.0524959,0.398279,0,0,0,0,0
8.74768,87.8921,2.07803,0,0,0,0,0,0,0
10.3141,12.0406,0.0897261,0,0,0,0,0,0,0
1.92312,34.5667,0,0.430877,0,0,0,0,0,0
22.9784,10.9668,0.53997,0.33945,0.513903,9.14275e-06,0,0,0,0
4.09864,10.4372,9.30219,7.11413,9.13206,0,0,0,0,0
3.23108,7.16184,2.4023,0,2.16941,0.163597,0,0,0,0
19.9293,22.9181,1.76918,0.0700745,0.113415,0,0,0,0,0
18.7474,8.40869,0.485816,6.88281,8.32567,1.08392,0,0,0,0
8.42119,0.0995826,0,0,0.371884,0.262071,0,0,0,0
8.07187,16.9874,0.35934,0.451748,2.52012,1.37795,0,0,0,0
48.6714,16.8724,29.2175,0.0169802,0.672217,0,0,0,0,0
